MUNICIPIO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,DEPARTAMENTO,sanitary_rank
CHACHAGUÍ,36.0,61.31833333333332,6.491666666666667,97.22222222222221,NARIÑO,34.0
CHIMICHAGUA,5.0,68.56800000000001,6.645999999999999,100.0,CESAR,6.0
CHINÁCOTA,32.0,54.9240625,11.7378125,100.0,NORTE DE SANTANDER,105.0
CHIRIGUANÁ,7.0,65.91142857142857,9.454285714285716,100.0,CESAR,10.0
CHÍA,40.0,22.594749999999998,6.33225,57.49999999999999,CUNDINAMARCA,169.0
CIMITARRA,30.0,53.169999999999995,37.20166666666667,100.0,SANTANDER,125.0
CIÉNAGA,29.0,47.14966666666667,2.0806666666666667,83.33333333333334,MAGDALENA,159.0
COLOMBIA,45.0,54.973777777777784,16.051333333333336,93.33333333333333,HUILA,103.0
COTA,56.0,54.9280701754386,2.536491228070175,100.0,CUNDINAMARCA,104.0
COVARACHÍA,23.0,62.02521739130435,31.59391304347826,100.0,BOYACÁ,28.0
CRAVO NORTE,32.0,70.89666666666666,21.89121212121212,100.0,ARAUCA,4.0
CUASPUD (CARLOSAMA),25.0,50.04600000000001,1.3188,100.0,NARIÑO,151.0
CUMARIBO,86.0,65.26471264367817,6.246896551724138,97.70114942528735,VICHADA,14.0
CUMBITARA,40.0,59.810750000000006,26.446749999999998,97.5,NARIÑO,50.0
CÓRDOBA,35.0,62.73138888888887,29.8475,100.0,BOLÍVAR,23.0
CÚCUTA,37.0,53.53540540540541,19.46540540540541,97.2972972972973,NORTE DE SANTANDER,122.0
DURANIA,27.0,58.8062962962963,10.785925925925925,100.0,NORTE DE SANTANDER,57.0
EL BANCO,39.0,58.5351282051282,27.403076923076924,94.87179487179486,MAGDALENA,61.0
EL CARMEN,8.0,62.3775,20.7175,100.0,CHOCÓ,27.0
EL COLEGIO,48.0,53.54208333333333,38.63270833333333,100.0,CUNDINAMARCA,120.0
EL PASO,16.0,58.7725,20.509999999999998,100.0,CESAR,58.0
ELÍAS,24.0,51.848749999999995,4.507083333333333,100.0,HUILA,138.0
FLANDES,51.0,55.939215686274494,19.203333333333337,100.0,TOLIMA,94.0
FLORENCIA,43.0,51.633023255813946,2.184186046511628,93.02325581395348,CAQUETA,142.0
FONSECA,16.0,49.031875,0.0,93.75,LA GUAJIRA,154.0
FUNDACIÓN,23.0,52.816521739130444,8.29565217391304,86.95652173913044,MAGDALENA,130.0
GACHETÁ,54.0,60.19962962962964,7.184259259259259,90.74074074074075,CUNDINAMARCA,43.0
GARAGOA,12.0,56.598333333333336,10.968333333333334,91.66666666666666,BOYACÁ,80.0
GARZÓN,39.0,53.023076923076914,8.014615384615384,100.0,HUILA,128.0
GIGANTE,85.0,56.20965116279069,13.645697674418605,98.83720930232558,HUILA,87.0
GIRARDOT,109.0,55.15091743119266,28.172477064220185,100.0,CUNDINAMARCA,100.0
GIRÓN,47.0,56.67617021276595,16.78085106382979,100.0,SANTANDER,77.0
GUADALAJARA DE BUGA,13.0,60.382307692307684,12.503076923076925,100.0,VALLE DEL CAUCA,40.0
GUADUAS,63.0,53.0231746031746,30.55079365079365,95.23809523809523,CUNDINAMARCA,127.0
GUICÁN,79.0,41.71493670886077,1.7134177215189874,86.07594936708861,BOYACÁ,161.0
HONDA,58.0,58.856379310344835,25.360517241379313,100.0,TOLIMA,56.0
IBAGUÉ,57.0,52.5643103448276,9.47051724137931,98.27586206896551,TOLIMA,133.0
ICONONZO,55.0,60.371818181818185,4.112,92.72727272727272,TOLIMA,41.0
IMUÉS,11.0,33.38727272727272,11.590909090909092,72.72727272727273,NARIÑO,164.0
INÍRIDA,34.0,79.79705882352943,0.0,100.0,GUAINÍA,2.0
IPIALES,21.0,49.0547619047619,4.562857142857143,95.23809523809523,NARIÑO,153.0
LA CALERA,37.0,30.736756756756755,0.0,70.27027027027027,CUNDINAMARCA,166.0
LA VICTORIA,28.0,65.75964285714285,16.486785714285716,100.0,VALLE DEL CAUCA,13.0
LA VIRGINIA,32.0,59.99187499999999,14.400625000000002,96.875,RISARALDA,46.0
LEBRIJA,6.0,56.166666666666664,29.189999999999998,100.0,SANTANDER,90.0
LENGUAZAQUE,52.0,67.75301886792454,1.7815094339622641,100.0,CUNDINAMARCA,7.0
LETICIA,67.0,61.86417910447761,24.919104477611942,100.0,AMAZONAS,29.0
LINARES,13.0,31.668333333333333,11.549999999999999,61.53846153846154,NARIÑO,165.0
LORICA,33.0,57.99333333333333,13.501818181818182,100.0,CORDOBA,67.0
LOS ANDES (SOTOMAYOR),23.0,65.82565217391304,21.374347826086954,100.0,NARIÑO,11.0
LOS SANTOS,47.0,53.53744680851063,30.247234042553185,95.74468085106383,SANTANDER,121.0
LÉRIDA,36.0,55.06944444444445,16.49055555555556,97.22222222222221,TOLIMA,101.0
MAGANGUÉ,62.0,62.86984615384615,18.81061538461538,100.0,BOLÍVAR,22.0
MAICAO,7.0,50.17,4.7542857142857144,85.71428571428571,LA GUAJIRA,149.0
MANIZALES,2.0,55.7,0.0,100.0,CALDAS,96.0
MANÍ,43.0,59.16581395348837,18.96302325581395,97.67441860465115,CASANARE,53.0
MAPIRIPÁN,28.0,66.18535714285714,25.807142857142857,100.0,META,9.0
MARÍA LA BAJA,30.0,64.01741935483871,32.08387096774193,100.0,BOLÍVAR,18.0
MELGAR,51.0,57.10960784313727,8.735098039215686,100.0,TOLIMA,71.0
MITÚ,33.0,75.15878787878788,0.0,96.96969696969697,VAUPES,3.0
MONIQUIRÁ,44.0,56.23266666666666,7.590888888888889,95.55555555555556,BOYACÁ,85.0
MONTELÍBANO,30.0,60.82633333333334,31.218,100.0,CORDOBA,38.0
MONTERÍA,35.0,59.382,15.403142857142853,100.0,CORDOBA,52.0
NARIÑO,33.0,56.667575757575754,27.336666666666666,100.0,CUNDINAMARCA,78.0
NATAGAIMA,77.0,56.69961538461539,15.156153846153844,97.43589743589743,TOLIMA,75.0
NECHÍ,32.0,58.33848484848485,30.290909090909093,96.96969696969697,ANTIOQUIA,64.0
NEIRA,34.0,58.3585294117647,20.202647058823526,97.05882352941177,CALDAS,63.0
NEIVA,177.0,50.951966292134834,4.9814606741573035,94.9438202247191,HUILA,146.0
NIMAIMA,54.0,55.3337037037037,19.327037037037034,94.44444444444444,CUNDINAMARCA,99.0
OCAÑA,28.0,56.5475,8.242500000000001,100.0,NORTE DE SANTANDER,82.0
PAJARITO,15.0,48.24399999999999,11.044,86.66666666666667,BOYACÁ,155.0
PALERMO,40.0,56.606829268292685,3.2521951219512197,100.0,HUILA,79.0
PALESTINA,82.0,51.17048780487806,9.127195121951221,97.5609756097561,CALDAS,145.0
PARATEBUENO,36.0,50.0945945945946,17.926216216216215,91.8918918918919,CUNDINAMARCA,150.0
PASTO,173.0,37.333275862068966,14.283275862068965,72.41379310344827,NARIÑO,163.0
PAUNA,37.0,61.31405405405406,31.489729729729728,100.0,BOYACÁ,35.0
PAZ DE RIO,52.0,61.2801923076923,10.586923076923076,100.0,BOYACÁ,36.0
PEREIRA,62.0,54.76890625,7.815468749999999,98.4375,RISARALDA,108.0
PIEDECUESTA,37.0,54.718378378378375,4.34054054054054,97.2972972972973,SANTANDER,110.0
PITALITO,64.0,52.3384375,3.92671875,98.4375,HUILA,135.0
POLICARPA,37.0,60.02783783783784,22.649459459459457,100.0,NARIÑO,45.0
POPAYÁN,33.0,84.96606060606061,7.925757575757576,100.0,CAUCA,1.0
PUEBLORRICO,27.0,51.807037037037034,14.677037037037037,88.88888888888889,ANTIOQUIA,139.0
