CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,Ammoniacal Nitrogen,BOD5,COD,Chloride,Dissolved Oxygen,Electrical Conductivity,Nitrate,Nitrite,Sulfate,Temperature,Total Suspended Solids,Turbidity,pH
14883,2007-05-07,RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],BOYACÁ,SOGAMOSO,5.759888889,-72.90652778,2.3,,71.0,,3.0,1335.0,1.4,0.032,407.0,22.4,52.0,54.0,6.69
14884,2007-05-08,CHICAMOCHA_BOY_TIPACOQUE_PLAYA LA [24037280],BOYACÁ,COVARACHÍA,6.383333333,-72.71666667,0.3,,57.0,,4.2,445.0,0.87,0.006,102.0,,1090.0,1000.0,6.49
14885,2007-05-09,RCA_LA VIEJA_VAL_CARTAGO_CARTAGO [26127040],RISARALDA,PEREIRA,4.757611111,-75.89925,0.3,,22.0,,7.0,136.0,0.96,0.022,3.0,26.0,200.0,130.0,6.85
14886,2007-05-09,RCA_CAUCA_VAL_LA VICTORIA_VICTORIA LA [26107070],VALLE DEL CAUCA,LA VICTORIA,4.524884,-76.0437,0.3,,32.0,,4.0,142.0,0.56,0.023,15.0,26.5,260.0,170.0,6.86
14924,2007-05-09,RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],TOLIMA,MELGAR,4.232555556,-74.62055556,0.3,,52.0,,7.5,27.4,0.13,0.0065,3.0,22.8,140.0,130.0,6.18
14925,2007-05-09,RCA_SUMAPAZ_CUN_RICAURTE_SAN MIGUEL-SUMAPAZ [2119700147],CUNDINAMARCA,RICAURTE,4.248085,-74.744647,0.3,2.0,58.0,,7.0,44.3,0.29,0.006,3.0,24.6,360.0,240.0,6.7
14926,2007-05-09,RCA_BOGOTA_CUN_GIRARDOT_CAMPINA LA [21209200],CUNDINAMARCA,GIRARDOT,4.304888889,-74.793777778,14.0,39.0,140.0,,1.7,607.0,1.04,0.064,88.0,26.6,650.0,240.0,7.4
14927,2007-05-09,RCA_MAGDALENA_CUN_NARINO_NARINO [21237010],CUNDINAMARCA,NARIÑO,4.387777778,-74.838375,0.73,2.0,45.0,,6.2,169.0,0.71,0.041,3.0,27.8,590.0,540.0,7.05
14928,2007-05-10,RCA_MAGDALENA_CUN_GIRARDOT_GIRARDOT [21237030],CUNDINAMARCA,GIRARDOT,4.288073,-74.808592,1.1,2.0,45.0,,6.3,176.0,0.78,0.031,3.0,26.6,1070.0,510.0,7.16
14929,2007-05-10,RCA_MAGDALENA_TOL_FLANDES_ISLA DEL AMOR,TOLIMA,FLANDES,4.281944444,-74.77694444,0.3,2.0,38.0,,6.2,127.0,0.62,0.006,3.0,26.2,660.0,460.0,7.03
14931,2007-05-04,RCA_CAUCA_BOL_SAN JACINTO DEL CAUCA_LAS VARAS [25027200],BOLÍVAR,SAN JACINTO DEL CAUCA,8.39,-74.56,,,32.0,,,,,,,29.1,460.0,580.0,
14932,2007-05-05,RCA_NECHI_ANT_NECHI_LA ESPERANZA [27037010],ANTIOQUIA,NECHÍ,8.031943889,-74.788805556,,,34.0,,,,,,,,880.0,620.0,
14933,2007-05-06,RCA_CAUCA_ANT_CAUCASIA_LA COQUERA [26247020],ANTIOQUIA,CAUCASIA,7.96,-75.2,,,21.0,,,,,,,,750.0,620.0,
14934,2007-05-06,RCA_ARMA_CAL_AGUADAS_QUITA SUENO [26187040],CALDAS,AGUADAS,5.713611111,-75.540277778,,,33.0,,7.4,,,,,20.7,1150.0,860.0,6.25
14935,2007-05-10,RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],HUILA,GIGANTE,2.462555556,-75.56686111,,,16.0,,8.2,74.6,,,,21.7,120.0,98.0,7.36
14936,2007-05-10,RCA_PAEZ_HUI_TESALIA_PAICOL [21057060],HUILA,TESALIA,2.46,-75.76,0.3,,76.0,,10.0,110.0,0.33,0.006,3.0,18.1,1330.0,520.0,7.8
14938,2007-05-14,RCA_NEGRO_ANT_RIONEGRO_PTE.REAL [23087150],ANTIOQUIA,RIONEGRO,6.143472222,-75.37994444,0.3,,12.0,,6.3,63.0,0.42,0.006,,20.5,7.2,13.0,7.24
14939,2007-05-14,RCA_SUBIA_CUN_SILVANIA_SILVANIA [21197110],CUNDINAMARCA,SILVANIA,4.403055556,-74.385305556,0.3,,17.0,,7.6,77.5,0.89,0.0087,3.0,19.8,15.0,28.0,6.27
14972,2007-05-15,RCA_GUATIQUIA_MET_VILLAVICENCIO_PTE.ABADIA [35037100],META,VILLAVICENCIO,4.235333333,-73.63536111,,,10.0,,8.3,104.0,,,,20.5,20.0,25.0,6.75
14973,2007-05-14,RCA_HUMEA_CUN_PARATEBUENO_CABLE EL [35057010],CUNDINAMARCA,PARATEBUENO,4.396951,-73.292706,,,10.0,,7.2,102.0,,,,24.3,78.0,38.0,6.74
14988,2007-05-19,RCA_SUMAPAZ_TOL_ICONONZO_PLAYA LA [21197030],TOLIMA,ICONONZO,4.19225,-74.500722222,0.3,,23.0,,7.1,23.0,0.19,0.006,3.0,20.3,54.0,66.0,5.52
14989,2007-05-22,RCA_UNE_CUN_UNE_CARAZA [35027100],CUNDINAMARCA,UNE,4.428638889,-74.01019444,0.3,,15.0,,6.6,102.0,0.32,0.006,17.0,18.7,19.0,26.0,6.27
14991,2007-05-18,RCA_YAGUARA_HUI_YAGUARA_HDA.VENECIA [21087080],HUILA,YAGUARÁ,2.64,-75.54,0.3,,10.0,,8.1,134.0,0.14,0.006,3.0,23.3,21.0,23.0,7.69
14995,2007-05-22,RCA_CESAR_CES_VALLEDUPAR_PTESALGUERO [28037030],CESAR,VALLEDUPAR,10.38411111,-73.23247222,0.3,,21.0,,3.8,132.0,0.33,0.074,3.0,26.6,110.0,78.0,7.45
14996,2007-05-23,RCA_RANCHERIA_LGU_SAN JUAN DEL CESAR_CERCADO EL [15067020],LA GUAJIRA,FONSECA,10.9075,-73.00833333,0.3,,10.0,,7.0,64.7,0.26,0.006,3.0,23.0,12.0,11.0,6.56
14997,2007-05-23,RCA_RANCHERIA_LGU_ALBANIA_CUESTECITAS [15067050],LA GUAJIRA,ALBANIA,11.18033333,-72.55344444,0.3,,10.0,,6.9,1850.0,0.57,0.006,48.0,29.3,130.0,120.0,7.33
14998,2007-05-23,RCA_CESAR_LGU_SAN JUAN DEL CESAR_CORRAL DE PIEDRA [28017080],LA GUAJIRA,SAN JUAN DEL CESAR,10.81891667,-73.05508333,,,10.0,,6.4,53.1,,,,30.3,34.0,33.0,6.97
14999,2007-05-23,RCA_MAGDALENA_BOL_CORDOBA_TACAMOCHO[25027940],BOLÍVAR,CÓRDOBA,9.493583333,-74.81538889,0.74,,10.0,,5.8,151.0,0.59,0.006,12.0,31.0,350.0,380.0,7.41
15000,2007-05-24,RCA_MAGDALENA BZO.MOMPOS_MAG_SANTA ANA_SANTA ANA [25027370],MAGDALENA,SANTA ANA,9.320252778,-74.57455833,0.71,,17.0,,5.9,173.0,0.57,0.006,,28.8,370.0,300.0,7.6
15001,2007-05-25,RCA_MAGDALENA BZO.DE LOBA_BOL_MAGANGUE_MAGANGUE [25027680],BOLÍVAR,MAGANGUÉ,9.24,-74.74166667,0.84,,30.0,,6.0,145.0,0.81,0.012,8.2,29.3,570.0,520.0,6.55
15004,2007-05-23,RCA_SINU_COR_LORICA_LADOCTRINA [13077040],CORDOBA,LORICA,9.294874,-75.893375,0.3,,20.0,,6.2,143.0,0.57,0.011,18.0,28.7,170.0,220.0,7.73
15005,2007-05-26,RCA_SINU_COR_MONTERIA_MONTERIA [13067020],CORDOBA,MONTERÍA,8.751611111,-75.89241667,0.3,,10.0,,6.2,115.0,0.52,0.006,14.0,28.1,200.0,240.0,7.97
15015,2007-05-26,RCA_CASANARE_ARA_CRAVO NORTE_CRAVONORTE [36027050],ARAUCA,CRAVO NORTE,6.295638889,-70.19433333,,,18.0,,5.5,77.2,,,,28.8,75.0,49.0,6.39
15016,2007-05-27,RCA_META_VIC_PUERTO CARRENO_ACEITICO [35257040],VICHADA,PUERTO CARREÑO,6.1835,-68.441556,0.3,,21.0,,5.7,66.0,0.69,0.006,16.0,27.7,750.0,670.0,6.29
15017,2007-05-28,RCA_ORINOCO_VIC_PUERTO CARRENO_PTO.CARRENO [38017010],VICHADA,PUERTO CARREÑO,6.176527778,-67.47958333,0.3,,14.0,,5.9,17.1,0.052,0.006,3.0,29.3,69.0,55.0,6.65
15018,2007-05-26,RCA_SAN JORGE_COR_MONTELIBANO_MONTELIBANO [25017010],CORDOBA,MONTELÍBANO,7.98817,-75.417483,,,25.0,,6.2,101.0,,,,27.6,1440.0,980.0,7.17
15019,2007-05-28,RCA_SAN JORGE_COR_BUENAVISTA_MARRALU [25027120],CORDOBA,AYAPEL,8.32,-75.24,,,22.0,,6.1,91.4,,,,26.9,800.0,850.0,7.04
15032,2007-05-29,RCA_CAUCA_VAL_CANDELARIA_JUANCHITO [26067010],VALLE DEL CAUCA,CANDELARIA,3.45160833,-76.47538333,0.3,,67.0,,6.1,85.4,0.61,0.0089,7.4,22.3,360.0,380.0,6.6
15040,2007-05-31,RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],NARIÑO,PASTO,1.201388889,-77.24777778,0.3,,16.0,,7.3,91.3,0.85,0.031,3.0,14.1,16.0,13.0,6.5
15041,2007-06-03,RCA_CARRAIPIA_LGU_MAICAO_PARAGUACHON[15087080],LA GUAJIRA,MAICAO,11.36013889,-72.13244444,,,30.0,,,227.0,,,,28.2,,,6.98
15059,2007-06-05,RCA_LAGUNILLA_TOL_LERIDA_ESMERALDA LA [21257090],TOLIMA,LÉRIDA,4.890777778,-74.85313889,0.3,,10.0,,6.8,200.0,0.5,0.006,46.0,30.7,61.0,53.0,7.54
15060,2007-06-01,RCA_GUAVIARE_VIC_CUMARIBO_CEJAL [32207010],VICHADA,CUMARIBO,3.993665,-68.333828,,,11.0,,6.2,29.3,,,,28.4,200.0,210.0,6.56
15061,2007-06-03,RCA_VICHADA_VIC_CUMARIBO_STA.RITA [33077010],VICHADA,CUMARIBO,4.866127,-68.362697,,,10.0,,6.6,3.9,,,,26.4,36.0,48.0,5.69
15062,2007-06-03,RCA_ORINOCO_VIC_CUMARIBO_PTO.NARINO [38027020],VICHADA,CUMARIBO,4.956861111,-67.83416667,,,12.0,,6.0,10.4,,,,26.8,62.0,62.0,5.77
15063,2007-06-04,RCA_INIRIDA_GUAI_INIRIDA_PTO.INIRIDA [31097020],GUAINÍA,INÍRIDA,3.867666667,-67.931694444,,,10.0,,5.4,10.1,,,,26.2,9.0,17.0,4.81
15064,2007-06-07,RCA_PAEZ_HUI_TESALIA_PAICOL [21057060],HUILA,TESALIA,2.46,-75.76,0.3,,310.0,,7.3,114.0,1.9,0.006,3.0,18.9,4730.0,2890.0,7.61
15066,2007-06-07,RCA_GUARINO_TOL_HONDA_PTE.CARRETERA [23027060],TOLIMA,HONDA,5.289277778,-74.74608333,,,13.0,,6.8,68.3,,,,23.4,510.0,260.0,7.53
15067,2007-06-08,RCA_LA MIEL_ANT_SONSON_SAN MIGUEL [23057140],ANTIOQUIA,SONSÓN,5.731027778,-74.72583333,,,10.0,,7.2,42.8,,,,25.4,130.0,110.0,6.73
15068,2007-06-07,RCA_GUIZA_NAR_RICAURTE_PILISPI [51027020],NARIÑO,RICAURTE,1.206083333,-77.98513889,,,10.0,,8.3,89.2,,,,17.4,6.4,6.0,6.47
15069,2007-06-10,RCA_NEGRO_CUN_PUERTO SALGAR_PTO.LIBRE [23067040],CUNDINAMARCA,PUERTO SALGAR,5.759222222,-74.63175,0.3,,48.0,,6.1,388.0,0.16,0.006,110.0,26.6,350.0,380.0,7.92
15070,2007-06-11,RCA_NARE_ANT_CARACOLI_CANTERAS [23087210],ANTIOQUIA,PUERTO NARE,6.276083333,-74.67330556,,,10.0,,8.0,34.0,,,,27.4,16.0,20.0,8.45
15071,2007-06-12,RCA_MAGDALENA_CUN_PUERTO SALGAR_PTO.SALGAR [23037010],CUNDINAMARCA,PUERTO SALGAR,5.469666667,-74.66216667,,,50.0,,5.0,127.0,,,,26.5,500.0,440.0,6.94
15072,2007-06-08,RCA_NEGRO_ANT_RIONEGRO_FRESERA LA [23087830],ANTIOQUIA,RIONEGRO,6.199722222,-75.33408333,0.3,,10.0,,5.2,86.9,0.6,0.018,3.0,19.5,38.0,40.0,6.85
15074,2007-06-16,RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],TOLIMA,SAN LUIS,4.3013407,-75.0903693,0.3,,18.0,,7.7,249.0,0.43,0.021,23.0,23.1,110.0,66.0,7.07
15075,2007-06-16,RCA_CRAVO SUR_CAS_YOPAL_PTE.YOPAL [35217010],CASANARE,YOPAL,5.369,-72.41372222,,,10.0,,4.0,76.5,,,,23.9,150.0,180.0,7.13
15076,2007-06-15,RCA_CUSIANA_CAS_MANI_MANI [35197180],CASANARE,MANÍ,4.817,-72.29138889,,,10.0,,5.6,80.1,,,,27.7,46.0,39.0,6.64
15077,2007-06-15,RCA_OTUN_RIS_SANTA ROSA DE CABAL_BANANERA LA 6-909 [26137110],RISARALDA,PEREIRA,4.773388889,-75.63305556,0.3,,10.0,,10.4,150.0,0.44,0.009,27.0,17.9,5.8,3.0,6.26
15078,2007-06-13,RCA_GUAMUES_NAR_PASTO_LA COCHA [47017020],NARIÑO,PASTO,0.989722222,-77.15722222,0.3,,10.0,,6.4,41.8,0.13,0.006,3.0,15.1,4.5,4.0,7.03
15079,2007-06-14,RCA_PASTO_NAR_EL TAMBO_PROVIDENCIA [52047040],NARIÑO,CHACHAGUÍ,1.431944444,-77.30055556,0.3,,26.0,,7.4,160.0,1.14,0.06,20.0,20.1,55.0,28.0,6.21
15080,2007-06-15,RCA_PASTO_NAR_PASTO_UNIVERSIDAD [52047010],NARIÑO,PASTO,1.234333333,-77.29294444,2.7,,150.0,,4.9,236.0,0.74,0.022,3.0,14.5,180.0,97.0,6.27
15081,2007-06-19,RCA_CHICAMOCHA_BOY_TIBASOSA_SAN RAFAEL [24037190],BOYACÁ,TIBASOSA,5.807611111,-73.01380556,0.84,,24.0,,5.8,507.0,2.5,0.11,120.0,17.3,24.0,27.0,6.31
15083,2007-06-20,RCA_CHICAMOCHA_BOY_SOGAMOSO_PTE.CHAMEZA [24037290],BOYACÁ,SOGAMOSO,5.759888889,-72.90652778,2.9,,30.0,,3.4,687.0,1.8,0.12,160.0,19.8,30.0,34.0,5.22
15084,2007-06-20,RCA_SUAZA_HUI_GUADALUPE_PTE.GARCES [21037010],HUILA,ALTAMIRA,2.03,-75.78,0.3,,50.0,,7.9,62.6,0.2,0.006,3.0,19.7,34.0,43.0,7.57
15085,2007-06-20,MAGDALENA_HUI_AGRADO_PTE.BALSEADERO [21047010],HUILA,AGRADO,2.232361111,-75.64855556,,,15.0,,7.8,65.0,,,,20.3,120.0,120.0,7.28
15086,2007-06-22,RCA_GUEJAR_MET_VISTA HERMOSA_PINALITO [32077070],META,VISTAHERMOSA,2.97548,-73.67673,,,12.0,,7.1,51.6,,,,23.4,100.0,71.0,6.9
15087,2007-06-24,RCA_ARIARI_MET_PUERTO RICO_PTO.RICO [32077080],META,PUERTO RICO,2.94,-73.21,,,30.0,,5.1,68.7,,,,23.0,590.0,340.0,6.69
15088,2007-06-25,RCA_OCOA_MET_VILLAVICENCIO_PTE.DELAMOR [35037130],META,VILLAVICENCIO,4.086083333,-73.668861,0.3,,10.0,,7.7,61.3,0.11,0.006,16.0,24.1,8.4,15.0,6.62
15090,2007-06-21,RCA_PATIA_NAR_POLICARPA_PTE.GUASCAS [52017010],NARIÑO,POLICARPA,1.594277778,-77.42936111,0.3,,47.0,,7.6,109.0,0.36,0.006,3.0,23.2,470.0,320.0,7.37
15091,2007-06-21,RCA_PATIA_NAR_CUMBITARA_PTE.PUSMEO [52077010],NARIÑO,CUMBITARA,1.624055556,-77.47891667,0.3,,59.0,,7.4,122.0,0.57,0.011,3.0,22.0,1070.0,860.0,7.51
15092,2007-06-25,RCA_CHICAMOCHA_BOY_PAZ DE RIO_PAZ DE RIO [24037510],BOYACÁ,PAZ DE RIO,5.9877472,-72.744522222,0.3,,94.0,,7.2,160.0,0.49,0.05,34.0,19.4,65.0,63.0,6.26
15093,2007-06-25,RCA_MAGDALENA_ATL_BARRANQUILLA_LAS FLORES [29045180],ATLANTICO,BARRANQUILLA,11.039361111,-74.81975,0.34,,22.0,,4.2,163.0,0.34,0.006,10.0,31.4,120.0,96.0,6.82
15094,2007-06-25,RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],CUNDINAMARCA,LENGUAZAQUE,5.32825,-73.69972222,0.3,,41.0,,,73.9,0.4,0.01,12.0,14.2,32.0,38.0,5.44
15095,2007-06-22,RCA_NEIVA_HUI_CAMPOALEGRE_PTE.MULAS [21107020],HUILA,CAMPOALEGRE,2.566388889,-75.37427778,,,14.0,,7.8,89.4,,,,19.7,27.0,19.0,6.86
15101,2007-06-27,RCA_NEGRO_CUN_NIMAIMA_TOBIA [23067060],CUNDINAMARCA,NIMAIMA,5.125305556,-74.44705556,0.3,,10.0,,7.5,469.0,0.2,0.006,100.0,23.8,32.0,33.0,7.59
15102,2007-06-25,RCA_PAMPLONITA_NOR_CUCUTA_AGUAS CLARAS [16017010],NORTE DE SANTANDER,CÚCUTA,8.233611111,-72.41722222,0.3,,25.0,,6.5,345.0,2.3,0.28,62.0,31.5,28.0,19.0,7.44
15103,2007-06-26,RCA_ZULIA_NOR_PUERTO SANTANDER_PTO.LEON [16027060],NORTE DE SANTANDER,PUERTO SANTANDER,8.350277778,-72.43472222,0.3,,20.0,,7.6,149.0,0.37,0.006,12.0,31.0,100.0,110.0,7.12
15104,2007-06-26,RCA_LAG.DE TOTA_BOY_AQUITANIA_ESCALERAS [35097070],BOYACÁ,TOTA,5.491944444,-72.9385,0.3,,17.0,,6.9,96.5,0.13,0.006,8.7,15.4,6.8,7.4,6.74
15105,2007-06-25,RCA_GUAVIARE_MET_MAPIRIPAN_MAPIRIPAN [32097010],META,MAPIRIPÁN,2.889722222,-72.13011111,,,17.0,,6.3,34.5,,,,,120.0,110.0,6.41
15106,2007-06-27,RCA_MAGDALENA_MAG_EL BANCO_EL BANCO [25027020],MAGDALENA,EL BANCO,8.992527778,-73.96944444,1.0,,44.0,,6.0,159.0,0.53,0.006,6.8,32.0,220.0,200.0,6.45
15107,2007-06-26,MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],ATLANTICO,SANTA LUCIA,10.30280833,-74.94655833,0.3,,65.0,,5.4,143.0,0.38,0.006,7.0,32.1,160.0,99.0,6.82
15108,2007-06-27,RCA_MAGDALENA_BOL_CALAMAR_CALAMAR [29037020],BOLÍVAR,CALAMAR,10.244042,-74.914705,0.3,,19.0,,6.1,143.0,0.34,0.006,7.5,31.8,140.0,110.0,6.69
15109,2007-06-28,RCA_FUNDACION_MAG_FUNDACION_FUNDACION [29067120],MAGDALENA,FUNDACIÓN,10.525085,-74.182576,,,37.0,,7.4,63.8,,,,28.3,100.0,85.0,7.22
15110,2007-06-28,RCA_ARACATACA_MAG_ARACATACA_PTE.FERROCARRIL [29067130],MAGDALENA,ARACATACA,10.58580556,-74.19211111,0.3,,17.0,,8.7,42.5,0.078,0.006,3.0,27.9,12.0,8.3,7.88
15111,2007-06-28,RCA_NEGRO_CUN_GUADUAS_GUADUERO [23067050],CUNDINAMARCA,GUADUAS,5.192111111,-74.57291667,0.3,,10.0,,6.9,566.0,0.15,0.006,160.0,27.8,18.0,6.2,6.58
15112,2007-06-29,RCA_VILLETA_CUN_VILLETA_VILLETA [23067070],CUNDINAMARCA,VILLETA,5.008583333,-74.467111111,0.3,,10.0,,7.9,668.0,0.28,0.006,250.0,23.9,4.5,4.2,8.09
15113,2007-06-29,RCA_CANAL DEL DIQUE_BOL_MARIA LA BAJA_STA.HELENA1[29037370],BOLÍVAR,MARÍA LA BAJA,10.05861111,-75.40277778,0.3,,12.0,,5.4,146.0,0.23,0.006,5.0,31.8,53.0,46.0,6.65
15124,2007-06-28,GUAITARA_NAR_LOS ANDES_AGROYACO [52057030],NARIÑO,LOS ANDES (SOTOMAYOR),1.574388889,-77.44197222,0.3,,38.0,,8.0,142.0,0.43,0.0062,3.0,21.7,390.0,310.0,8.6
15167,2007-07-05,RCA_PUTUMAYO_PUT_SANTIAGO_EDEN EL [47017070],PUTUMAYO,SANTIAGO,1.106305556,-76.985,0.34,,15.0,,7.5,77.9,0.26,0.006,3.0,15.5,20.0,22.0,5.95
15168,2007-07-07,RCA_CAUCA_BOL_SAN JACINTO DEL CAUCA_LAS VARAS [25027200],BOLÍVAR,SAN JACINTO DEL CAUCA,8.39,-74.56,,,20.0,,,112.0,,,,28.9,260.0,210.0,6.41
15169,2007-07-09,RCA_CAUCA_ANT_CAUCASIA_LA COQUERA [26247020],ANTIOQUIA,CAUCASIA,7.96,-75.2,,,20.0,,,122.0,,,,25.8,620.0,470.0,6.44
15170,2007-07-10,MAGDALENA_HUI_PALERMO_ESPERANZA LA [21097120],HUILA,PALERMO,2.728416667,-75.39638889,0.3,2.0,16.0,,7.6,106.0,0.16,0.006,3.0,23.5,110.0,210.0,6.23
15171,2007-07-09,RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],HUILA,NEIVA,2.942611111,-75.30852778,,,17.0,,7.1,95.8,,,,23.4,130.0,210.0,7.19
15185,2007-07-11,RCA_CAUCA_ANT_SANTA FE DE ANTIOQUIA_CANAFISTO [26217050],ANTIOQUIA,SANTA FE DE ANTIOQUIA,6.417972222,-75.81925,0.3,,110.0,,6.7,171.0,1.1,0.013,18.0,25.8,320.0,250.0,7.26
15186,2007-07-11,RCA_HACHA_CAQ_FLORENCIA_FLORENCIA [44037060],CAQUETA,FLORENCIA,1.621166667,-75.61922222,,,10.0,,9.1,28.5,,,,22.9,5.6,8.8,7.26
15187,2007-07-12,MAGDALENA_HUI_SAN AGUSTIN_MAGDALENA LA [21017060],HUILA,SAN AGUSTÍN,1.905,-76.40111111,0.3,2.0,12.0,,8.4,59.5,0.03,0.006,3.0,16.0,5.3,7.4,6.96
15188,2007-07-12,NARANJOS/SOMBRERILLO_HUI_SAN AGUSTIN_PTE.SOBRE EL NARANJOS/SOMBRERILLO,HUILA,SAN AGUSTÍN,1.869694,-76.233639,0.3,2.0,10.0,,8.2,63.4,0.13,0.006,3.0,18.9,82.0,66.0,7.02
15189,2007-07-12,RCA_CHICAMOCHA_SAN_JORDAN_JORDAN EL [24037360],SANTANDER,LOS SANTOS,6.749722222,-73.09666667,0.3,,16.0,,7.2,234.0,0.4,0.023,38.0,24.3,120.0,130.0,6.33
15190,2007-07-11,RCA_CABRERA_HUI_COLOMBIA_CARRASPOSO [21147030],HUILA,COLOMBIA,3.327527778,-74.86691667,0.3,,22.0,,7.7,69.6,0.19,0.006,3.0,22.7,24.0,30.0,7.62
15191,2007-07-13,GUARAPAS_HUI_PITALITO_DESEMBOCADURA DE RIO GUACHICOS,HUILA,PITALITO,1.868451,-76.145781,0.3,2.0,26.0,,7.4,69.6,0.38,0.016,3.0,18.1,140.0,130.0,6.76
15192,2007-07-13,MAGDALENA_HUI_ELIAS_SALADO BLANCO [21017040],HUILA,ELÍAS,1.9880833,-76.012083333,0.3,2.0,22.0,,7.6,47.9,0.048,0.006,3.0,18.8,47.0,55.0,6.93
15193,2007-07-14,SUAZA_HUI_ACEVEDO_SAN MARCOS [21037020],HUILA,ACEVEDO,1.752277778,-75.94541667,0.3,2.0,12.0,,7.6,38.2,0.079,0.006,3.0,18.5,27.0,31.0,6.77
15194,2007-07-14,MAGDALENA_HUI_PITALITO_PTE.PASO LA LAGUNA,HUILA,PITALITO,1.950639,-76.058667,0.3,2.0,24.0,,7.6,52.9,0.055,0.006,3.0,18.5,9.2,12.0,6.79
15195,2007-07-15,GUARAPAS_HUI_PALESTINA_PTE GUILLERMO PLAZAS,HUILA,PALESTINA,1.715833,-76.123333,0.3,2.0,12.0,,8.0,28.5,0.03,0.006,3.0,16.9,4.5,4.8,6.98
15196,2007-07-15,GUARAPAS_HUI_PALESTINA_PTE.FUNDADORES,HUILA,PALESTINA,1.766109,-76.08939,0.3,2.0,11.0,,7.6,49.1,0.05,0.006,3.0,18.9,7.2,11.0,6.75
15198,2007-07-16,SUAZA_HUI_SUAZA_PTE.AVISPERO,HUILA,SUAZA,1.866686,-75.824,0.3,2.0,30.0,,7.4,58.6,0.08,0.006,3.0,19.1,11.0,16.0,6.59
15199,2007-07-16,RCA_SUAZA_HUI_GUADALUPE_PTE.GARCES [21037010],HUILA,ALTAMIRA,2.03,-75.78,0.3,2.0,10.0,,7.8,55.6,0.065,0.006,3.0,21.7,12.0,17.0,6.77
15200,2007-07-16,RCA_CAUCA_RIS_LA VIRGINIA_LA VIRGINIA [26177030],RISARALDA,LA VIRGINIA,4.8925,-75.882694444,0.42,,35.0,,5.0,189.0,1.06,0.046,16.0,24.5,68.0,76.0,6.36
15201,2007-07-12,RCA_ARMA_CAL_AGUADAS_QUITA SUENO [26187040],CALDAS,AGUADAS,5.713611111,-75.540277778,,,10.0,,7.6,150.0,,,,24.2,12.0,8.4,7.73
15202,2007-07-13,RCA_SUAREZ_SAN_PUENTE NACIONAL_PTE.NACIONAL [24017590],SANTANDER,PUENTE NACIONAL,5.872777778,-73.67777778,,,12.0,,7.5,281.0,,,,21.8,8.4,21.0,6.65
15203,2007-07-17,MAGDALENA_HUI_AGRADO_PTE.BALSEADERO [21047010],HUILA,AGRADO,2.232361111,-75.64855556,0.3,2.0,22.0,,7.4,59.4,0.15,0.006,3.0,19.5,140.0,140.0,6.67
15204,2007-07-17,SUAZA_HUI_GARZON_DESEMBOCADURA PTE.LA JAGUA,HUILA,GARZÓN,2.172778,-75.669722,0.3,2.0,10.0,,7.8,79.0,0.13,0.006,3.0,23.2,31.0,34.0,6.72
15205,2007-07-13,RCA_LAS CEIBAS_HUI_NEIVA_GUAYABO [21117080],HUILA,NEIVA,2.92,-75.15,0.3,,10.0,,6.9,144.0,0.046,0.006,3.0,20.0,6.4,6.1,6.9
15206,2007-07-16,CHICAMOCHA_BOY_TIPACOQUE_PLAYA LA [24037280],BOYACÁ,COVARACHÍA,6.383333333,-72.71666667,0.3,,63.0,,6.8,258.0,0.57,0.039,61.0,22.5,97.0,100.0,5.81
15207,2007-07-14,RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],TOLIMA,SAN LUIS,4.3013407,-75.0903693,0.3,,10.0,,7.5,273.0,0.26,0.014,25.0,26.2,27.0,18.0,7.4
15208,2007-07-13,RCA_COMBEIMA_TOL_IBAGUE_MONTEZUMA [21217180],TOLIMA,IBAGUÉ,4.4819444,-75.28611111,,,10.0,,7.2,200.0,,,,28.7,7.6,8.1,7.52
15209,2007-07-17,RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],TOLIMA,NATAGAIMA,3.44,-75.12,,,27.0,,4.2,98.7,,,,23.8,290.0,290.0,6.77
15210,2007-07-17,RCA_CHULO_BOY_TUTA_PILAS LAS [24037250],BOYACÁ,TUTA,5.666666667,-73.26666667,29.0,,180.0,,,615.0,0.52,0.006,28.0,16.7,44.0,32.0,7.19
15211,2007-07-17,RCA_MINERO_BOY_PAUNA_BORBUR [23127010],BOYACÁ,PAUNA,5.649388889,-74.05502778,0.3,,56.0,,8.7,403.0,0.68,0.006,90.0,26.1,640.0,750.0,6.99
15213,2007-07-18,RCA_MONIQUIRA_BOY_MONIQUIRA_MONIQUIRA [24017600],BOYACÁ,MONIQUIRÁ,5.878138889,-73.57025,,,13.0,,8.0,,,,,20.2,27.0,55.0,7.01
