CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,Ammoniacal Nitrogen,BOD5,COD,Chloride,Dissolved Oxygen,Electrical Conductivity,Nitrate,Nitrite,Sulfate,Temperature,Total Suspended Solids,Turbidity,pH
26383,2017-06-01,RCA_GUAMUES_NAR_PASTO_LA COCHA [47017020],NARIÑO,PASTO,0.989722222,-77.15722222,0.3,,11.0,,6.4,35.3,0.13,0.006,,17.7,4.5,5.0,7.49
26387,2017-06-03,RCA_PATIA_NAR_CUMBITARA_PTE.PUSMEO [52077010],NARIÑO,CUMBITARA,1.624055556,-77.47891667,0.3,,11.0,,8.7,177.0,0.45,0.021,,24.5,140.0,130.0,7.47
26388,2017-06-04,RCA_FONCE_SAN_SAN GIL_SAN GIL [24027010],SANTANDER,SAN GIL,6.546666667,-73.12805556,,,15.0,,7.6,88.4,,,,23.0,31.0,19.0,6.96
26389,2017-06-04,RCA_PATIA_NAR_POLICARPA_PTE.GUASCAS [52017010],NARIÑO,POLICARPA,1.594277778,-77.42936111,0.3,,10.0,,8.1,160.0,0.34,0.018,,25.0,95.0,92.0,8.01
26390,2017-06-05,RCA_CHICAMOCHA_SAN_JORDAN_JORDAN EL [24037360],SANTANDER,LOS SANTOS,6.749722222,-73.09666667,0.3,,33.0,,8.9,283.2,0.87,0.006,,26.2,1510.0,540.0,7.17
26391,2017-06-07,GUAITARA/QDA.DE EL MORRO_NAR_IPIALES_PTE.RUMICHACA [52057100],NARIÑO,IPIALES,0.813786111,-77.66197778,0.3,,15.0,,7.2,251.0,0.47,0.028,,12.1,16.0,15.0,7.11
26392,2017-06-06,BLANCO_NAR_CUASPUD_CARLOSAMA [52057040],NARIÑO,CUASPUD (CARLOSAMA),0.844166667,-77.68588889,0.3,,13.0,,7.9,332.0,0.36,0.017,,15.4,4.5,3.8,7.15
26394,2017-06-06,RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],NARIÑO,PASTO,1.201388889,-77.24777778,0.3,,20.0,,7.4,52.3,0.69,0.011,,10.7,7.5,5.7,7.81
26395,2017-06-06,RCA_PASTO_NAR_PASTO_UNIVERSIDAD [52047010],NARIÑO,PASTO,1.234333333,-77.29294444,9.0,,229.0,,1.8,301.2,0.75,0.0064,,16.4,110.0,71.0,7.46
26396,2017-06-08,GUIZA_NAR_RICAURTE_PIPIGUAY [51027050],NARIÑO,RICAURTE,1.236944444,-78.09722222,0.3,,10.0,,8.1,60.2,0.24,0.006,,19.1,42.0,38.0,7.88
26397,2017-06-09,MIRA_NAR_TUMACO_SAN JUAN [51027060],NARIÑO,TUMACO,1.423888889,-78.67027778,0.3,,28.0,,7.2,99.9,0.52,0.006,,24.3,600.0,330.0,6.47
26398,2017-06-08,RCA_CAUCA_VAL_CANDELARIA_JUANCHITO [26067010],VALLE DEL CAUCA,CANDELARIA,3.45160833,-76.47538333,0.3,,17.0,,5.8,111.0,0.65,0.006,,23.3,160.0,85.0,6.98
26399,2017-06-08,RCA_CAUCA_VAL_YUMBO_PASO DE LA TORRE - CAUCA,VALLE DEL CAUCA,YUMBO,3.646388889,-76.45194444,0.6,,10.0,,3.9,134.0,0.38,0.04,,24.2,90.0,42.0,7.08
26400,2017-06-07,RCA_PASTO_NAR_EL TAMBO_PROVIDENCIA [52047040],NARIÑO,CHACHAGUÍ,1.431944444,-77.30055556,0.8,,17.0,,7.7,156.0,1.8,0.24,,18.1,32.0,29.0,8.01
26401,2017-06-07,RCA_LEBRIJA_SAN_SABANA DE TORRES_SAN RAFAEL [23197370],SANTANDER,SABANA DE TORRES,7.578055556,-73.56055556,0.3,,10.0,,9.3,153.0,1.7,0.017,,25.0,110.0,62.0,7.76
26403,2017-06-10,RCA_ARIARI_MET_PUERTO RICO_PTO.RICO [32077080],META,PUERTO RICO,2.94,-73.21,,,10.0,,5.2,90.8,,,,25.6,340.0,270.0,6.82
26404,2017-06-12,RCA_GUARINO_TOL_HONDA_PTE.CARRETERA [23027060],TOLIMA,HONDA,5.289277778,-74.74608333,,,10.0,,13.3,97.4,,,,26.1,680.0,280.0,7.58
26405,2017-06-13,RCA_MAGDALENA_CUN_PUERTO SALGAR_PTO.SALGAR [23037010],CUNDINAMARCA,PUERTO SALGAR,5.469666667,-74.66216667,0.3,,26.0,,10.1,159.0,1.1,0.006,,26.2,840.0,400.0,7.29
26406,2017-06-14,RCA_CABRERA_HUI_COLOMBIA_CARRASPOSO [21147030],HUILA,COLOMBIA,3.327527778,-74.86691667,0.3,,54.0,,7.1,77.11,0.42,0.006,,20.1,1670.0,1250.0,7.4
26410,2017-06-13,RCA_SUAREZ_SAN_PUENTE NACIONAL_PTE.NACIONAL [24017590],SANTANDER,PUENTE NACIONAL,5.872777778,-73.67777778,,,43.0,,7.3,204.0,,,,18.6,280.0,170.0,7.61
26411,2017-06-14,RCA_NEGRO_CUN_GUADUAS_GUADUERO [23067050],CUNDINAMARCA,GUADUAS,5.192111111,-74.57291667,0.3,,43.0,,6.8,570.0,1.0,0.015,,26.5,1280.0,260.0,8.38
26412,2017-06-15,RCA_VILLETA_CUN_VILLETA_VILLETA [23067070],CUNDINAMARCA,VILLETA,5.008583333,-74.467111111,0.3,,10.0,,7.0,626.0,0.46,0.032,,21.9,52.0,55.0,8.47
26413,2017-06-16,RCA_NEGRO_CUN_NIMAIMA_TOBIA [23067060],CUNDINAMARCA,NIMAIMA,5.125305556,-74.44705556,0.3,,10.0,,7.4,358.0,0.1,0.0081,,24.2,150.0,100.0,8.41
26415,2017-06-09,RCA_LAGUNILLA_TOL_LERIDA_ESMERALDA LA [21257090],TOLIMA,LÉRIDA,4.890777778,-74.85313889,0.3,,17.0,,11.2,220.0,0.77,0.006,,25.5,160.0,81.0,7.17
26416,2017-06-08,RCA_VICHADA_VIC_CUMARIBO_STA.RITA [33077010],VICHADA,CUMARIBO,4.866127,-68.362697,,,15.0,,5.1,10.32,,,,27.2,12.0,9.6,6.79
26417,2017-06-12,RCA_INIRIDA_GUAI_INIRIDA_PTO.INIRIDA [31097020],GUAINÍA,INÍRIDA,3.867666667,-67.931694444,,,16.0,,5.8,13.98,,,,27.0,7.2,13.0,6.39
26418,2017-06-13,RCA_RUCIO_CUN_UBALA_MUNDONUEVO[35067130],CUNDINAMARCA,UBALÁ,4.852833333,-73.39297222,0.3,,11.0,,6.9,54.2,0.12,0.006,,18.3,280.0,170.0,6.89
26419,2017-06-14,RCA_GUAVIARE_MET_MAPIRIPAN_MAPIRIPAN [32097010],META,MAPIRIPÁN,2.889722222,-72.13011111,,,10.0,,5.5,40.3,,,,27.1,220.0,140.0,6.42
