standard_id,layer_id,CODIGO__MUESTRA,n_params,violation_score_0_100,severity_score_0_100,risk_score_0_100,critical_violation_flag,created_at,standard_code,layer_code
1,1,20591,2,57.14,30.69,49.2,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20592,2,57.14,56.47,56.94,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20606,2,57.14,55.39,56.61,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20607,2,57.14,56.95,57.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20608,2,57.14,41.27,52.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20609,2,57.14,31.86,49.56,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20611,2,57.14,50.34,55.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20612,2,100.0,53.16,85.95,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20613,2,100.0,10.12,73.04,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20617,2,57.14,56.31,56.89,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20618,2,57.14,56.55,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20619,2,57.14,53.7,56.11,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20620,2,57.14,56.62,56.98,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20623,2,57.14,56.48,56.94,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20624,2,57.14,53.12,55.93,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20625,2,57.14,46.15,53.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20627,2,57.14,48.21,54.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20628,2,57.14,54.31,56.29,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20655,2,57.14,56.76,57.03,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20656,2,57.14,51.54,55.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20657,2,57.14,56.7,57.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
