CODIGO__MUESTRA,CO_2115,EPA,epa_minus_colombia,epa_stricter_flag,colombia_only_acceptable
12923,52.63,51.78,-0.8500000000000014,0,0
12924,85.83,85.59,-0.23999999999999488,0,0
12925,84.44,84.1,-0.3400000000000034,0,0
12926,54.38,54.08,-0.30000000000000426,0,0
12936,54.69,54.46,-0.22999999999999687,0,0
12938,56.87,56.86,-0.00999999999999801,0,0
12939,56.89,56.89,0.0,0,0
12943,55.36,55.24,-0.11999999999999744,0,0
12945,56.76,56.75,-0.00999999999999801,0,0
12947,57.01,57.01,0.0,0,0
12948,56.77,56.77,0.0,0,0
12949,56.92,56.92,0.0,0,0
12950,56.96,56.96,0.0,0,0
12951,56.85,56.85,0.0,0,0
12952,56.86,56.86,0.0,0,0
12955,56.99,56.99,0.0,0,0
12956,57.0,57.0,0.0,0,0
12957,53.57,53.06,-0.509999999999998,0,0
12959,56.96,56.96,0.0,0,0
12970,56.38,56.36,-0.020000000000003126,0,0
12977,54.08,53.71,-0.36999999999999744,0,0
12978,53.57,53.06,-0.509999999999998,0,0
12979,56.31,56.28,-0.030000000000001137,0,0
12980,56.76,56.75,-0.00999999999999801,0,0
12984,56.91,56.91,0.0,0,0
12985,56.7,56.69,-0.010000000000005116,0,0
12986,49.88,47.4,-2.480000000000004,0,0
12987,55.43,55.32,-0.10999999999999943,0,0
12995,51.43,50.0,-1.4299999999999997,0,0
12996,56.31,56.28,-0.030000000000001137,0,0
12997,0.0,30.5,30.5,1,1
12998,46.56,40.33,-6.230000000000004,0,0
13009,54.28,53.97,-0.3100000000000023,0,0
13010,53.41,52.86,-0.5499999999999972,0,0
13011,78.51,74.12,-4.390000000000001,0,0
13012,46.29,0.0,-46.29,0,0
13013,48.3,44.35,-3.9499999999999957,0,0
13014,45.24,0.0,-45.24,0,0
13015,86.87,86.7,-0.1700000000000017,0,0
13021,86.93,86.9,-0.030000000000001137,0,0
13022,87.65,87.58,-0.07000000000000739,0,0
13035,56.74,56.73,-0.010000000000005116,0,0
13047,79.46,76.47,-2.989999999999995,0,0
13048,0.0,0.0,0.0,0,0
13090,55.58,55.49,-0.0899999999999963,0,0
13091,53.57,53.06,-0.509999999999998,0,0
13092,86.27,86.23,-0.03999999999999204,0,0
13093,53.57,53.06,-0.509999999999998,0,0
13097,85.79,85.64,-0.15000000000000568,0,0
13099,56.67,56.67,0.0,0,0
13100,56.77,56.77,0.0,0,0
13101,56.9,56.9,0.0,0,0
13102,56.72,56.71,-0.00999999999999801,0,0
13103,55.32,55.19,-0.13000000000000256,0,0
13104,56.76,56.75,-0.00999999999999801,0,0
13105,55.24,55.1,-0.14000000000000057,0,0
13116,77.59,72.41,-5.180000000000007,0,0
13117,48.9,45.56,-3.3399999999999963,0,0
13118,41.56,0.0,-41.56,0,0
13123,80.46,77.83,-2.6299999999999955,0,0
13124,30.73,30.73,0.0,0,0
13139,56.88,56.87,-0.010000000000005116,0,0
13140,57.04,57.04,0.0,0,0
13141,57.02,57.02,0.0,0,0
13148,55.64,55.55,-0.09000000000000341,0,0
13149,55.88,55.82,-0.060000000000002274,0,0
13150,56.98,56.97,-0.00999999999999801,0,0
13154,56.67,56.67,0.0,0,0
13155,56.7,56.69,-0.010000000000005116,0,0
13156,56.91,56.9,-0.00999999999999801,0,0
13157,56.98,56.98,0.0,0,0
13176,54.08,53.71,-0.36999999999999744,0,0
13177,55.58,55.49,-0.0899999999999963,0,0
13188,56.88,56.87,-0.010000000000005116,0,0
13197,55.19,55.05,-0.14000000000000057,0,0
13198,56.5,56.48,-0.020000000000003126,0,0
13219,87.14,87.14,0.0,0,0
13220,88.31,88.31,0.0,0,0
13221,0.0,0.0,0.0,0,0
13232,55.43,55.32,-0.10999999999999943,0,0
13233,56.82,56.81,-0.00999999999999801,0,0
13255,56.74,56.73,-0.010000000000005116,0,0
13256,56.28,56.25,-0.030000000000001137,0,0
13267,57.02,57.02,0.0,0,0
13268,57.0,57.0,0.0,0,0
13270,54.94,54.76,-0.17999999999999972,0,0
13271,55.66,55.58,-0.0799999999999983,0,0
13272,83.68,82.6,-1.0800000000000125,0,0
13273,88.26,88.25,-0.010000000000005116,0,0
13284,57.02,57.02,0.0,0,0
13285,57.04,57.04,0.0,0,0
13286,87.23,86.97,-0.2600000000000051,0,0
13287,86.77,86.73,-0.03999999999999204,0,0
13288,84.36,83.99,-0.37000000000000455,0,0
13290,55.69,55.61,-0.0799999999999983,0,0
13298,86.86,86.85,-0.010000000000005116,0,0
13299,56.27,56.24,-0.030000000000001137,0,0
13300,53.25,52.63,-0.6199999999999974,0,0
13307,56.46,56.45,-0.00999999999999801,0,0
13308,83.29,82.61,-0.6800000000000068,0,0
13309,56.41,56.39,-0.01999999999999602,0,0
13310,56.99,56.99,0.0,0,0
13314,57.08,57.08,0.0,0,0
13315,56.72,56.71,-0.00999999999999801,0,0
13316,56.13,56.1,-0.030000000000001137,0,0
13321,56.88,56.87,-0.010000000000005116,0,0
13322,55.0,54.82,-0.17999999999999972,0,0
13327,56.38,56.36,-0.020000000000003126,0,0
13361,56.61,56.61,0.0,0,0
13387,56.96,56.96,0.0,0,0
13388,56.93,56.93,0.0,0,0
13389,57.05,57.05,0.0,0,0
13434,82.51,81.08,-1.4300000000000068,0,0
13435,53.71,53.25,-0.46000000000000085,0,0
13436,86.43,86.4,-0.030000000000001137,0,0
13437,56.14,56.11,-0.030000000000001137,0,0
13438,88.01,87.97,-0.04000000000000625,0,0
13439,56.04,56.0,-0.03999999999999915,0,0
13440,56.64,56.64,0.0,0,0
13441,56.79,56.78,-0.00999999999999801,0,0
13454,56.72,56.71,-0.00999999999999801,0,0
13456,55.52,55.43,-0.09000000000000341,0,0
13458,56.58,56.57,-0.00999999999999801,0,0
13459,57.0,57.0,0.0,0,0
13460,87.06,87.06,0.0,0,0
13461,86.77,86.76,-0.009999999999990905,0,0
13462,54.88,54.69,-0.19000000000000483,0,0
13463,86.46,86.4,-0.05999999999998806,0,0
13464,52.1,51.02,-1.0799999999999983,0,0
13467,55.43,55.32,-0.10999999999999943,0,0
13475,0.0,0.0,0.0,0,0
13482,56.96,56.95,-0.00999999999999801,0,0
13483,49.56,46.81,-2.75,0,0
13484,54.18,53.84,-0.3399999999999963,0,0
13488,85.55,85.38,-0.1700000000000017,0,0
13491,40.66,0.0,-40.66,0,0
13492,49.49,46.69,-2.8000000000000043,0,0
13493,55.58,55.49,-0.0899999999999963,0,0
13494,55.28,55.15,-0.13000000000000256,0,0
13495,55.05,54.88,-0.1699999999999946,0,0
13500,56.54,56.53,-0.00999999999999801,0,0
13501,56.17,56.13,-0.03999999999999915,0,0
13515,57.1,57.1,0.0,0,0
13516,57.04,57.04,0.0,0,0
13521,56.67,56.67,0.0,0,0
13522,56.7,56.69,-0.010000000000005116,0,0
13523,56.44,56.43,-0.00999999999999801,0,0
13532,55.84,55.78,-0.060000000000002274,0,0
13533,56.44,56.43,-0.00999999999999801,0,0
13534,55.43,55.32,-0.10999999999999943,0,0
13535,86.48,86.39,-0.09000000000000341,0,0
13536,56.84,56.83,-0.010000000000005116,0,0
13537,56.0,55.95,-0.04999999999999716,0,0
13541,86.9,86.88,-0.020000000000010232,0,0
13544,54.28,53.97,-0.3100000000000023,0,0
13545,56.08,56.04,-0.03999999999999915,0,0
13546,86.74,86.73,-0.009999999999990905,0,0
13553,52.1,51.02,-1.0799999999999983,0,0
13554,51.78,50.55,-1.230000000000004,0,0
13565,54.94,54.76,-0.17999999999999972,0,0
13570,56.64,56.64,0.0,0,0
13594,57.06,57.06,0.0,0,0
13595,89.2,89.19,-0.010000000000005116,0,0
13596,85.65,85.56,-0.09000000000000341,0,0
13600,48.48,44.72,-3.759999999999998,0,0
13601,56.0,55.95,-0.04999999999999716,0,0
13604,55.1,54.94,-0.1600000000000037,0,0
13607,30.2,30.2,0.0,0,0
13608,31.28,31.28,0.0,0,0
13609,53.71,53.25,-0.46000000000000085,0,0
13610,57.08,57.08,0.0,0,0
13611,56.58,56.57,-0.00999999999999801,0,0
13613,56.74,56.73,-0.010000000000005116,0,0
13615,86.39,86.36,-0.030000000000001137,0,0
13616,56.38,56.36,-0.020000000000003126,0,0
13617,56.64,56.64,0.0,0,0
13618,86.7,86.65,-0.04999999999999716,0,0
13619,76.61,31.21,-45.4,0,0
13620,87.3,87.3,0.0,0,0
13621,56.74,56.73,-0.010000000000005116,0,0
13622,53.41,52.86,-0.5499999999999972,0,0
13623,52.63,51.78,-0.8500000000000014,0,0
13624,52.86,52.1,-0.759999999999998,0,0
13625,55.15,85.98,30.830000000000005,1,0
13626,83.28,82.05,-1.230000000000004,0,0
13627,81.46,78.72,-2.739999999999995,0,0
13628,85.75,85.56,-0.18999999999999773,0,0
13629,48.98,45.71,-3.269999999999996,0,0
13630,52.86,52.1,-0.759999999999998,0,0
13634,56.79,56.78,-0.00999999999999801,0,0
13646,83.2,82.25,-0.9500000000000028,0,0
13647,51.78,50.55,-1.230000000000004,0,0
13648,50.55,48.57,-1.9799999999999969,0,0
13656,56.8,56.8,0.0,0,0
13658,56.86,56.86,0.0,0,0
13668,56.67,56.67,0.0,0,0
13671,85.6,85.5,-0.09999999999999432,0,0
