Unnamed: 0,NOMBRE DEL PUNTO DE MONITOREO,LATITUD,LONGITUD,ELEVACIÓN (m.s.n.m.),CORRIENTE,ZONA HIDROGRÁFICA - ZH,SZH - Código (#Área#Zona##Subzona),Nombre Subzona Hidrográfica,DEPARTAMENTO,MUNICIPIO,FECHA,PROPIEDAD OBSERVADA ,*RESULTADO,UNIDAD DEL RESULTADO,PROYECTO,CODIGO__MUESTRA,parameter_std,value_raw,is_censored,value_num,unit_raw
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2012-11-26,CONDUCTIVIDAD ELECTRICA,96.3,µS/cm,Convenio CAM,22007,Electrical Conductivity,96.3,False,96.3,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2013-08-17,CONDUCTIVIDAD ELECTRICA,164,µS/cm,Convenio CAM,22500,Electrical Conductivity,164,False,164.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2013-11-06,CONDUCTIVIDAD ELECTRICA,134.3,µS/cm,Convenio CAM,22770,Electrical Conductivity,134.3,False,134.3,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2018-09-18,CONDUCTIVIDAD ELECTRICA,141,µS/cm,Convenio CAM,27031,Electrical Conductivity,141,False,141.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2018-11-21,CONDUCTIVIDAD ELECTRICA,97.4,µS/cm,Convenio CAM,27190,Electrical Conductivity,97.4,False,97.4,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2006-04-27,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),2.1,mg O2/L,Convenio CAM,13314,BOD5,2.1,False,2.1,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2006-06-14,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,13565,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2007-04-26,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,14837,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2007-07-25,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,15240,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2008-05-29,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,16373,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2008-09-24,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,16757,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2009-06-17,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),5.1,mg O2/L,Convenio CAM,17674,BOD5,5.1,False,5.1,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2009-09-24,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,17920,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2010-09-24,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,19268,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2010-12-09,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,19633,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2011-09-13,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,20706,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2011-11-22,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),2,mg O2/L,Convenio CAM,20975,BOD5,2,False,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2013-08-17,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,22500,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2013-11-06,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,22770,BOD5,<2,True,2.0,mg O2/L
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2018-09-18,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),<2,mg O2/L,Convenio CAM,27031,BOD5,<2,True,2.0,mg O2/L
