CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11447,2005-03-13 00:00:00,RCA_MAGDALENA_MAG_EL BANCO_EL BANCO [25027020],MAGDALENA,EL BANCO,8.992527778,-73.96944444,33.26,56.99,56.99,1,0.0
11448,2005-03-16 00:00:00,MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],ATLANTICO,SANTA LUCIA,10.30280833,-74.94655833,33.24,56.99,56.99,1,0.0
11449,2005-03-19 00:00:00,RCA_CANAL DEL DIQUE_BOL_MARIA LA BAJA_STA.HELENA1[29037370],BOLÍVAR,MARÍA LA BAJA,10.05861111,-75.40277778,33.22,56.88,56.88,1,0.0
11456,2005-04-02 00:00:00,RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],CUNDINAMARCA,LENGUAZAQUE,5.32825,-73.69972222,0.0,85.82,85.07,1,-0.75
11458,2005-04-04 00:00:00,RCA_CAUCA_CAU_POPAYAN_JULUMITO [26017020],CAUCA,POPAYÁN,2.467583333,-76.64430556,0.0,88.79,88.7,1,-0.09000000000000341
11464,2005-04-05 00:00:00,MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],ATLANTICO,SANTA LUCIA,10.30280833,-74.94655833,0.0,0.0,0.0,0,0.0
11465,2005-04-05 00:00:00,RCA_MAGDALENA_BOL_CALAMAR_CALAMAR [29037020],BOLÍVAR,CALAMAR,10.244042,-74.914705,33.1,56.87,56.86,1,-0.00999999999999801
11482,2005-04-08 00:00:00,RCA_CUSIANA_CAS_MANI_MANI [35197180],CASANARE,MANÍ,4.817,-72.29138889,30.0,56.31,56.28,1,-0.030000000000001137
11483,2005-04-09 00:00:00,RCA_CRAVO SUR_CAS_YOPAL_PTE.YOPAL [35217010],CASANARE,YOPAL,5.369,-72.41372222,33.23,57.0,57.0,1,0.0
11491,2005-04-06 00:00:00,RCA_VILLETA_CUN_VILLETA_VILLETA [23067070],CUNDINAMARCA,VILLETA,5.008583333,-74.467111111,31.33,86.72,86.7,1,-0.01999999999999602
11493,2005-04-09 00:00:00,RCA_NEGRO_CUN_NIMAIMA_TOBIA [23067060],CUNDINAMARCA,NIMAIMA,5.125305556,-74.44705556,0.0,86.8,86.57,1,-0.23000000000000398
11501,2005-04-16 00:00:00,RCA_LA VIEJA_VAL_CARTAGO_CARTAGO [26127040],RISARALDA,PEREIRA,4.757611111,-75.89925,0.0,54.94,54.76,1,-0.17999999999999972
11502,2005-04-15 00:00:00,RCA_CAUCA_VAL_LA VICTORIA_VICTORIA LA [26107070],VALLE DEL CAUCA,LA VICTORIA,4.524884,-76.0437,32.56,56.3,56.28,1,-0.01999999999999602
11503,2005-04-17 00:00:00,RCA_CESAR_LGU_SAN JUAN DEL CESAR_CORRAL DE PIEDRA [28017080],LA GUAJIRA,SAN JUAN DEL CESAR,10.81891667,-73.05508333,33.13,56.91,56.91,1,0.0
11504,2005-04-15 00:00:00,RCA_RANCHERIA_LGU_ALBANIA_CUESTECITAS [15067050],LA GUAJIRA,ALBANIA,11.18033333,-72.55344444,0.0,97.41,97.27,1,-0.14000000000000057
11510,2005-04-17 00:00:00,RCA_ARIGUANI_MAG_ARIGUANI_PALMARIGUANI[28047050],MAGDALENA,ARIGUANÍ (EL DIFICIL),9.930972222,-73.95880556,31.33,56.46,56.44,1,-0.020000000000003126
11537,2005-04-09 00:00:00,COMBEIMA_TOL_IBAGUE_YULDAIMA [21217260],TOLIMA,IBAGUÉ,4.4385,-75.24280556,0.0,53.06,52.38,1,-0.6799999999999997
11538,2005-04-09 00:00:00,RCA_COMBEIMA_TOL_IBAGUE_MONTEZUMA [21217180],TOLIMA,IBAGUÉ,4.4819444,-75.28611111,0.0,49.13,46.01,1,-3.1200000000000045
11539,2005-04-11 00:00:00,RCA_RECIO_TOL_VENADILLO_NUEVA LA [21257100],TOLIMA,VENADILLO,4.795083333,-74.97194444,0.0,50.55,48.57,1,-1.9799999999999969
11540,2005-04-13 00:00:00,RCA_COELLO_TOL_SAN LUIS_PAYANDE [21217070],TOLIMA,SAN LUIS,4.3013407,-75.0903693,0.0,54.76,84.85,1,30.089999999999996
11544,2005-04-06 00:00:00,RCA_SAN JORGE_BOL_MAGANGUE_SANANTONIO[25027180],BOLÍVAR,MAGANGUÉ,9.039073,-74.767704,0.0,56.26,56.23,1,-0.030000000000001137
11545,2005-04-11 00:00:00,RCA_MAGDALENA_BOL_CORDOBA_TACAMOCHO[25027940],BOLÍVAR,CÓRDOBA,9.493583333,-74.81538889,33.14,86.91,86.91,1,0.0
11546,2005-04-10 00:00:00,RCA_MAGDALENA BZO.DE LOBA_BOL_MAGANGUE_MAGANGUE [25027680],BOLÍVAR,MAGANGUÉ,9.24,-74.74166667,0.0,87.77,87.77,1,0.0
