NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
RCA_ATRATO_CHO_EL CARMEN_SIETE EL [11027030],8.0,62.3775,20.7175,100.0,5.862,-76.15205556,CHOCÓ,EL CARMEN,38.0,65.0
RCA_ATRATO_CHO_QUIBDO_QUIBDO [11047020],32.0,64.31424242424242,16.430909090909093,93.93939393939394,5.697778056,-76.662222222,CHOCÓ,QUIBDÓ,26.0,95.0
RCA_BOGOTA_CUN_COTA_PTE.LA VIRGEN [21208110],56.0,54.9280701754386,2.536491228070175,100.0,4.799322222,-74.09586944,CUNDINAMARCA,COTA,146.0,195.0
RCA_BOGOTA_CUN_EL COLEGIO_PTE.CARRETERA LA MESA - MESITAS,48.0,53.54208333333333,38.63270833333333,100.0,4.598969,-74.43601,CUNDINAMARCA,EL COLEGIO,167.0,6.0
RCA_BOGOTA_CUN_GIRARDOT_CAMPINA LA [21209200],58.0,54.44344827586207,35.31068965517241,100.0,4.304888889,-74.793777778,CUNDINAMARCA,GIRARDOT,158.0,8.0
RCA_BOGOTA_CUN_SOACHA_ALICACHIN - EL SALTO [21207120],56.0,53.126785714285724,53.12785714285714,98.21428571428571,4.544847222,-74.25826944,CUNDINAMARCA,SOACHA,174.0,1.0
RCA_BOGOTA_CUN_TOCAIMA_PTE.PORTILLO [21207960],58.0,53.24758620689654,39.24534482758621,98.27586206896551,4.454861111,-74.60852778,CUNDINAMARCA,TOCAIMA,171.0,4.0
RCA_BOGOTA_CUN_TOCANCIPA_PTE.TULIO BOTERO-BOGOTA,48.0,57.95333333333334,0.9387500000000001,97.91666666666666,4.971916667,-73.91613889,CUNDINAMARCA,TOCANCIPÁ,87.0,211.0
RCA_BOGOTA_CUN_VILLAPINZON_PTE.CARRETERA-BOGOTA,48.0,55.82874999999999,0.625,97.91666666666666,5.218611,-73.595556,CUNDINAMARCA,VILLAPINZÓN,130.0,213.0
RCA_BOGOTA_CUN_VILLAPINZON_SANPEDRO-BOGOTA,48.0,58.62979166666668,6.76875,97.91666666666666,5.194722222,-73.61388889,CUNDINAMARCA,VILLAPINZÓN,78.0,158.0
RCA_CABRERA_HUI_COLOMBIA_CARRASPOSO [21147030],45.0,54.973777777777784,16.051333333333336,93.33333333333333,3.327527778,-74.86691667,HUILA,COLOMBIA,145.0,97.0
RCA_CABRERA_HUI_VILLAVIEJA_SAN ALFONSO [21147010],51.0,56.18,17.197307692307692,96.15384615384616,3.3705,-75.11416667,HUILA,VILLAVIEJA,118.0,86.0
RCA_CALOSTROS_CUN_LA CALERA_BOCATOMA EAAB [35027520],11.0,29.98909090909091,0.0,72.72727272727273,4.661027778,-73.833333333,CUNDINAMARCA,LA CALERA,235.0,214.0
RCA_CALOSTROS_CUN_LA CALERA_CALOSTROS BAJO [35027510],13.0,20.318461538461538,0.0,61.53846153846154,4.6645,-73.863083333,CUNDINAMARCA,LA CALERA,238.0,214.0
RCA_CANAL DEL DIQUE_BOL_MARIA LA BAJA_STA.HELENA1[29037370],30.0,64.01741935483871,32.08387096774193,100.0,10.05861111,-75.40277778,BOLÍVAR,MARÍA LA BAJA,28.0,14.0
RCA_CANE_BOY_VILLA DE LEIVA_PUENTE CHACON [24017740],3.0,52.24,0.0,100.0,5.677888889,-73.54213889,BOYACÁ,VILLA DE LEIVA,184.0,214.0
RCA_CARARE_SAN_CIMITARRA_STA.ROSA [23127060],30.0,53.169999999999995,37.20166666666667,100.0,6.291944444,-74.09833333,SANTANDER,CIMITARRA,172.0,7.0
RCA_CARDENILLO_BOY_GUICAN_LAPLAYA CARDENILLO [24037001],25.0,36.9712,1.6563999999999999,80.0,6.499555556,-72.37613889,BOYACÁ,GUICÁN,227.0,205.0
RCA_CARDENILLO_BOY_GUICAN_PTE.VDA CALVARIO [24037620],26.0,43.60961538461538,1.1538461538461537,80.76923076923077,6.490361111,-72.407,BOYACÁ,GUICÁN,221.0,210.0
RCA_CARDENILLO_BOY_GUICAN_RITACUBA NEGRO [24037630],24.0,41.602916666666665,0.0,95.83333333333334,6.509055556,-72.3295,BOYACÁ,GUICÁN,223.0,214.0
RCA_CARRAIPIA_LGU_MAICAO_PARAGUACHON[15087080],7.0,50.17,4.7542857142857144,85.71428571428571,11.36013889,-72.13244444,LA GUAJIRA,MAICAO,202.0,171.0
RCA_CASANARE_ARA_CRAVO NORTE_CRAVONORTE [36027050],32.0,70.89666666666666,21.89121212121212,100.0,6.295638889,-70.19433333,ARAUCA,CRAVO NORTE,8.0,63.0
RCA_CATATUMBO_NOR_TEORAMA_QUINCE LETRAS [16057040],17.0,58.42823529411765,17.881176470588233,100.0,8.541111111,-73.24611111,NORTE DE SANTANDER,TEORAMA,81.0,85.0
RCA_CAUCA_ANT_CAUCASIA_LA COQUERA [26247020],33.0,59.92029411764706,30.43794117647059,100.0,7.96,-75.2,ANTIOQUIA,CAUCASIA,60.0,26.0
RCA_CAUCA_ANT_SANTA FE DE ANTIOQUIA_CANAFISTO [26217050],27.0,59.96178571428572,31.971785714285712,100.0,6.417972222,-75.81925,ANTIOQUIA,SANTA FE DE ANTIOQUIA,59.0,15.0
RCA_CAUCA_BOL_SAN JACINTO DEL CAUCA_LAS VARAS [25027200],32.0,60.17424242424242,30.773030303030303,96.96969696969697,8.39,-74.56,BOLÍVAR,SAN JACINTO DEL CAUCA,55.0,22.0
RCA_CAUCA_CAL_AGUADAS_LA PINTADA [26187110],21.0,55.21952380952381,23.30809523809524,100.0,5.7414778,-75.6005638,CALDAS,AGUADAS,141.0,57.0
RCA_CAUCA_CAL_NEIRA_IRRA [26167070],34.0,58.3585294117647,20.202647058823526,97.05882352941177,5.268305556,-75.66419444,CALDAS,NEIRA,82.0,70.0
RCA_CAUCA_CAU_BUENOS AIRES_BALSA LA [26027010],6.0,53.865,7.670000000000001,100.0,3.09169444,-76.59908333,CAUCA,BUENOS AIRES,162.0,152.0
RCA_CAUCA_CAU_POPAYAN_JULUMITO [26017020],32.0,84.8875,8.1734375,100.0,2.467583333,-76.64430556,CAUCA,POPAYÁN,2.0,150.0
